 # Test of the spline interpolation (output from subroutine SPLERR)
 #        x                y(x)          y_spline(x)      rel.dif.
   3.7848603986E-08 -2.9663982489E-02 -2.9663982489E-02  4.4409E-15
   3.8243014369E-08 -2.9973103056E-02 -2.9973103056E-02  1.0547E-14
   3.8641534800E-08 -3.0285444887E-02 -3.0285444887E-02  8.2157E-15
   3.9044208107E-08 -3.0601041549E-02 -3.0601041549E-02  5.3291E-15
   3.9451077568E-08 -3.0919926961E-02 -3.0919926961E-02  3.1086E-15
   3.9862186909E-08 -3.1242135394E-02 -3.1242135394E-02  4.7740E-15
   4.0277580312E-08 -3.1567701475E-02 -3.1567701475E-02  2.2204E-15
   4.0697302421E-08 -3.1896660195E-02 -3.1896660195E-02  4.5519E-15
   4.1121398345E-08 -3.2229046906E-02 -3.2229046906E-02  8.8818E-15
   4.1549913661E-08 -3.2564897332E-02 -3.2564897332E-02  8.3267E-15
   4.1982894422E-08 -3.2904247565E-02 -3.2904247565E-02  1.7764E-15
   4.2420387163E-08 -3.3247134078E-02 -3.3247134078E-02  4.5519E-15
   4.2862438901E-08 -3.3593593721E-02 -3.3593593721E-02  1.5543E-15
   4.3309097144E-08 -3.3943663727E-02 -3.3943663727E-02  5.5511E-15
   4.3760409895E-08 -3.4297381721E-02 -3.4297381721E-02  2.6645E-15
   4.4216425659E-08 -3.4654785716E-02 -3.4654785716E-02  3.1086E-15
   4.4677193443E-08 -3.5015914123E-02 -3.5015914123E-02  8.7708E-15
   4.5142762768E-08 -3.5380805754E-02 -3.5380805754E-02  1.3323E-15
   4.5613183669E-08 -3.5749499824E-02 -3.5749499824E-02  1.7764E-15
   4.6088506702E-08 -3.6122035957E-02 -3.6122035957E-02  2.4425E-15
   4.6568782952E-08 -3.6498454190E-02 -3.6498454190E-02  1.7764E-15
   4.7054064036E-08 -3.6878794978E-02 -3.6878794978E-02  2.2204E-15
   4.7544402106E-08 -3.7263099196E-02 -3.7263099196E-02  1.3323E-15
   4.8039849861E-08 -3.7651408147E-02 -3.7651408147E-02  4.2188E-15
   4.8540460547E-08 -3.8043763562E-02 -3.8043763562E-02  1.6653E-15
   4.9046287965E-08 -3.8440207609E-02 -3.8440207609E-02  5.4401E-15
   4.9557386479E-08 -3.8840782894E-02 -3.8840782894E-02  6.1062E-15
   5.0073811016E-08 -3.9245532467E-02 -3.9245532467E-02  1.5543E-15
   5.0595617078E-08 -3.9654499829E-02 -3.9654499829E-02  1.1879E-14
   5.1122860745E-08 -4.0067728930E-02 -4.0067728930E-02  7.3275E-15
   5.1655598679E-08 -4.0485264183E-02 -4.0485264183E-02  9.9920E-16
   5.2193888136E-08 -4.0907150459E-02 -4.0907150459E-02  6.2172E-15
   5.2737786966E-08 -4.1333433099E-02 -4.1333433099E-02  2.4425E-15
   5.3287353624E-08 -4.1764157918E-02 -4.1764157918E-02  4.4409E-15
   5.3842647171E-08 -4.2199371205E-02 -4.2199371205E-02  2.8866E-15
   5.4403727287E-08 -4.2639119734E-02 -4.2639119734E-02  5.3291E-15
   5.4970654272E-08 -4.3083450766E-02 -4.3083450766E-02  2.4425E-15
